"Total Time (s)","Cycle Elapsed Time (s)","Total Cycles","Elapsed Cycles","Step","Total Cycle Count(8800 (0,3) Waveform)","Position(8800 (0,3):Position) (mm)","Load(8800 (0,3):Load) (kN)","Extension mm from Extensometer (mm)",
2.212,2.212,1,1,1,1,0.327042818123102,11.5934133529663,0.122127541507912,
2.223,2.223,1,1,1,1,0.328777817380428,11.6325736045837,0.124344834448767,
2.233,2.233,1,1,1,1,0.327860357040167,11.664342880249,0.129170426827574,
2.244,2.244,1,1,1,1,0.330158549773693,11.7011547088623,0.127038964581203,
2.255,2.255,1,1,1,1,0.334600511223078,11.758279800415,0.12748719154129,
2.265,2.265,1,1,1,1,0.334355249547958,11.8066310882568,0.112743385577583,
2.276,2.276,1,1,1,1,0.336789698767662,11.8603825569153,0.128455171040201,
2.287,2.287,1,1,1,1,0.338388441538811,11.9120836257935,0.126118668801451,
2.297,2.297,1,1,1,1,0.339505744725466,11.9612574577332,0.127496728285122,
2.308,2.308,1,1,1,1,0.342975743240118,12.0116710662842,0.134348878728151,
2.318,2.318,1,1,1,1,0.343602523076534,12.0661854743958,0.123848923769522,
2.329,2.329,1,1,1,1,0.342530638718605,12.1044635772705,0.133829126189327,
2.34,2.34,1,1,1,1,0.348471421515942,12.1742606163025,0.119318970449495,
2.35,2.35,1,1,1,1,0.349270792901516,12.2021079063416,0.131840715100431,
2.361,2.361,1,1,1,1,0.351832414841652,12.2531890869141,0.133323678766251,
2.372,2.372,1,1,1,1,0.352595451164246,12.290096282959,0.132312783920097,
2.382,2.382,1,1,1,1,0.353885345900059,12.3431086540222,0.12947083425827,
2.393,2.393,1,1,1,1,0.354139691340923,12.3719811439514,0.135297784739399,
2.404,2.404,1,1,1,1,0.357591522324085,12.4240279197693,0.135917673088455,
2.414,2.414,1,1,1,1,0.358181967097521,12.4527812004089,0.13256073925972,
2.425,2.425,1,1,1,1,0.357682359981537,12.4973297119141,0.138449678575754,
2.436,2.436,1,1,1,1,0.362160656493902,12.5389337539673,0.132732400648689,
2.446,2.446,1,1,1,1,0.362796520096064,12.57084608078,0.13606072424593,
2.457,2.457,1,1,1,1,0.36368672913909,12.6118063926697,0.13442994105072,
2.467,2.467,1,1,1,1,0.365585236179829,12.6469373703003,0.132565507631636,
2.478,2.478,1,1,1,1,0.367538245815039,12.6791596412659,0.14945508095746,
2.489,2.489,1,1,1,1,0.368056020462513,12.717342376709,0.136718759570312,
2.499,2.499,1,1,1,1,0.371126333284378,12.7583265304565,0.139274606917191,
2.51,2.51,1,1,1,1,0.372470730614662,12.7928376197815,0.137381563266611,
2.521,2.521,1,1,1,1,0.37320651564002,12.8364205360413,0.14070035012002,
2.531,2.531,1,1,1,1,0.37376970911622,12.8832697868347,0.14356137326951,
2.542,2.542,1,1,1,1,0.377103451144695,12.9268765449524,0.142335901687145,
2.553,2.553,1,1,1,1,0.377821068638563,12.9703879356384,0.147676478232861,
2.563,2.563,1,1,1,1,0.378992874419689,13.0063533782959,0.140500078499556,
2.574,2.574,1,1,1,1,0.380891381460428,13.0535244941711,0.144276629056883,
2.584,2.584,1,1,1,1,0.38436137997508,13.0863189697266,0.14461041509099,
2.595,2.595,1,1,1,1,0.38406161570549,13.1323337554932,0.139775285968351,
2.606,2.606,1,1,1,1,0.386087295466661,13.1669640541077,0.151362429723787,
2.616,2.616,1,1,1,1,0.387722373300791,13.2070660591125,0.1399707892169,
2.627,2.627,1,1,1,1,0.388767006361485,13.2417798042297,0.147767077299261,
2.638,2.638,1,1,1,1,0.39132862830162,13.2816553115845,0.146613131295633,
